serial,brand,gender,price,total_sale,seller_reviews,year,volume
434,Festina,Men's watch/Unisex,17737.5,14626.0,7424.0,2024-01-01,High Sale
437,Laco,Men's watch/Unisex,11467.5,223.0,170.0,1959-01-01,Low Sale
438,Grand Seiko,Men's watch/Unisex,468600.0,225.0,172.0,2024-01-01,Low Sale
439,Pulsar,Men's watch/Unisex,6435.0,14642.0,448.0,2022-01-01,High Sale
440,TB Buti,Men's watch/Unisex,882337.5,1580.0,1115.0,2006-01-01,Medium Sale
443,Victorinox Swiss Army,Men's watch/Unisex,38032.5,2328.0,1742.0,2024-01-01,Medium Sale
447,Hublot,Men's watch/Unisex,2604937.5,1123.0,852.0,2013-01-01,Medium Sale
448,Spinnaker,Men's watch/Unisex,43560.0,14626.0,7424.0,2024-01-01,High Sale
449,Aristo,Men's watch/Unisex,98010.0,363.0,253.0,2024-01-01,Low Sale
451,Versace,Men's watch/Unisex,147097.5,270.0,208.0,2009-01-01,Low Sale
456,Rolex,Men's watch/Unisex,1369087.5,1222.0,821.0,2022-01-01,Medium Sale
458,Ball,Men's watch/Unisex,184057.5,316.0,169.0,2024-01-01,Low Sale
464,Hublot,Men's watch/Unisex,643087.5,790.0,574.0,2013-01-01,Medium Sale
466,Anonimo,Men's watch/Unisex,289657.5,905.0,721.0,2018-01-01,Medium Sale
468,Tiffany,Women's watch,69300.0,937.0,579.0,2024-01-01,Medium Sale
470,Louis Vuitton,Men's watch/Unisex,169372.5,779.0,619.0,2024-01-01,Medium Sale
472,Universal Genève,Men's watch/Unisex,444757.5,1431.0,1329.0,1950-01-01,Medium Sale
479,A. Lange & Söhne,Men's watch/Unisex,1419000.0,2439.0,1789.0,2024-01-01,Medium Sale
485,Wittnauer,Men's watch/Unisex,82087.5,1390.0,860.0,1963-01-01,Medium Sale
487,Maserati,Men's watch/Unisex,15097.5,14626.0,7424.0,2024-01-01,High Sale
490,Hublot,Men's watch/Unisex,1062187.5,1123.0,852.0,2024-01-01,Medium Sale
496,Breitling,Men's watch/Unisex,701250.0,697.0,452.0,2019-01-01,Low Sale
504,Chopard,Women's watch,709500.0,265.0,195.0,2023-01-01,Low Sale
