serial,brand,movement,case_material,bracelet_material,gender,shape,crystal,dial,bracelet_color,clasp,year
12841,Alfred Dunhill,Manual winding,gold,Leather,Men's watch/Unisex,Rectangular,Sapphire crystal,Silver,Brown,Buckle,2001-01-01
12845,Frederique Constant,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Steel,Fold clasp,2022-01-01
12846,Guess,Quartz,steel,Steel,Women's watch,Circular,Mineral Glass,Silver,Silver,Fold clasp,2024-01-01
12852,Poljot,Automatic,steel,Leather,Men's watch/Unisex,Circular,Mineral Glass,White,Black,Fold clasp,2023-01-01
12855,Longines,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Black,Brown,Fold clasp,2024-01-01
12856,Hermès,Quartz,steel,Leather,Women's watch,Circular,Sapphire crystal,White,Blue,Buckle,2020-01-01
12859,Lorus,Quartz,steel,Steel,Men's watch/Unisex,Circular,Mineral Glass,Black,Silver,Fold clasp,2024-01-01
12860,Chronoswiss,Automatic,gold,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Silver,Black,Buckle,2000-01-01
12865,Traser,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Black,Buckle,2024-01-01
12876,Poljot,Manual winding,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Black,Brown,Buckle,2024-01-01
12883,Meistersinger,Automatic,steel,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Brown,Buckle,2024-01-01
12885,Chopard,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Fold clasp,2024-01-01
12888,Wenger,Quartz,steel,Steel,Men's watch/Unisex,Circular,Mineral Glass,White,Silver,Fold clasp,2024-01-01
12897,TW Steel,Quartz,steel,Textile,Men's watch/Unisex,Circular,Mineral Glass,Black,Black,Buckle,2024-01-01
12899,IWC,Automatic,steel,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Black,Buckle,2024-01-01
12900,Lorus,Quartz,steel,Steel,Men's watch/Unisex,Circular,Mineral Glass,Black,Silver,Fold clasp,2024-01-01
12901,Luminox,Quartz,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Blue,Silver,Fold clasp,2023-01-01
12907,Cartier,Automatic,steel,gold,Men's watch/Unisex,Circular,Sapphire crystal,Silver,Gold,Fold clasp,2023-01-01
12910,Rado,Automatic,Ceramic,Ceramic,Women's watch,Circular,Sapphire crystal,Black,Black,"Fold clasp, hidden",2023-01-01
12919,Laco,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Grey,Silver,Buckle,2023-01-01
12922,Pequignet,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,White,Brown,Buckle,2024-01-01
12924,Schwarz Etienne,Manual winding,steel,Leather,Men's watch/Unisex,Rectangular,Sapphire crystal,Silver,Brown,Buckle,2003-01-01
12925,Mercury,Quartz,steel,Steel,Women's watch,Rectangular,Mineral Glass,Blue,Steel,Double-fold clasp,2023-01-01
12926,Vulcain,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Green,Steel,Fold clasp,2024-01-01
12929,Jacques Lemans,Quartz,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Green,Silver,Double-fold clasp,2024-01-01
12936,Helvetia,Manual winding,gold,Leather,Men's watch/Unisex,Circular,Plexiglass,Champagne,Black,Buckle,1961-01-01
12942,Wenger,Quartz,steel,Steel,Women's watch,Circular,Mineral Glass,White,Silver,Fold clasp,2024-01-01
12943,Norqain,Automatic,steel,Textile,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Buckle,2023-01-01
12947,Baume & Mercier,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Black,Steel,Double-fold clasp,2007-01-01
12951,Bell & Ross,Quartz,steel,Animal skin,Women's watch,Circular,Sapphire crystal,Red,Silver,Buckle,2024-01-01
12952,Longines,Quartz,steel,Steel,Women's watch,Circular,Sapphire crystal,Silver,Steel,Fold clasp,2024-01-01
12953,Doxa,Automatic,steel,Steel,Men's watch/Unisex,Rectangular,Sapphire crystal,Blue,Steel,Fold clasp,2023-01-01
12957,Seiko,Automatic,steel,Textile,Men's watch/Unisex,Circular,Mineral Glass,Grey,Gold,Buckle,2023-01-01
12967,Swiss Military,Quartz,steel,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Silver,Brown,Buckle,2024-01-01
12973,Lorus,Quartz,steel,Steel,Men's watch/Unisex,Circular,Mineral Glass,Blue,Silver,Fold clasp,2024-01-01
12974,Davosa,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Black,Steel,Fold clasp,2023-01-01
12978,GUB Glashütte,Automatic,steel,Animal skin,Men's watch/Unisex,Circular,Plexiglass,Gold,Brown,Buckle,1975-01-01
12979,Zodiac,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Green,Green,Buckle,2023-01-01
12987,Waltham,Manual winding,gold,Leather,Men's watch/Unisex,Rectangular,Glass,White,Gold,Buckle,1938-01-01
12988,Arnold & Son,Manual winding,gold,Animal skin,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Buckle,2024-01-01
12991,Squale,Automatic,Carbon,Leather,Men's watch/Unisex,Rectangular,Sapphire crystal,Black,Black,Buckle,2022-01-01
12996,Mühle Glashütte,Automatic,steel,Steel,Men's watch/Unisex,Circular,Sapphire crystal,Black,Steel,Fold clasp,2024-01-01
12999,Frederique Constant,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Silver,Brown,Buckle,2023-01-01
13004,Poljot,Manual winding,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Fold clasp,2012-01-01
13009,Lorus,Quartz,steel,Steel,Men's watch/Unisex,Circular,Mineral Glass,Blue,Silver,Fold clasp,2024-01-01
13010,Chopard,Automatic,steel,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Grey,Black,"Fold clasp, hidden",2014-01-01
13011,Laco,Automatic,steel,Leather,Men's watch/Unisex,Circular,Sapphire crystal,Grey,Silver,Buckle,2024-01-01
13015,TW Steel,Quartz,steel,Animal skin,Men's watch/Unisex,Circular,Mineral Glass,Blue,Blue,Buckle,2024-01-01
13019,Gérald Genta,Automatic,Titanium,Rubber,Men's watch/Unisex,Circular,Sapphire crystal,Black,Black,Buckle,2024-01-01
